trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,4,-135.65724112568103,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-64,-338.97219592320175,"{0: 50, 1: 8, 2: 19, 3: 5, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-37,-537.318967771043,"{0: 31, 1: 2, 2: 17, 3: 4, 4: 8}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,-12,-75.39326487356473,"{0: 24, 1: 7, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,3,-99.1041914244603,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,11,-21.082741082357302,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,-30,-257.0265994633127,"{0: 32, 1: 4, 2: 9, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,-68,-246.43406054219102,"{0: 70, 1: 8, 2: 14, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,6,-64.85515547355315,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,23,0.6438850189078891,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,5,-47.73572321027562,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-4,-88.88982840731695,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,11,-1.1898285251974414,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,-1,-27.90172133856225,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,3,-51.16861649975992,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,10,-26.271998843859866,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-5,23.68190351119034,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,-45,-137.78899173442503,"{0: 56, 1: 1, 2: 3, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,14.25340677780075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,7,-23.735573560139848,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,-7,62.132251767770214,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,13,13.795084993449272,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,15,12.421520558224632,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,-5,-53.9139461876359,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,-12,-82.90687646950765,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,7,8.66853000998087,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,18.481660463299715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,-3,28.045341576370614,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,23,0.37204280930191125,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,5.547892956859652,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
