trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.999}",25,-98,-772.641480059974,"{0: 65, 1: 22, 2: 18, 3: 7, 4: 11}",0
2,False,"{'a': 0.9, 'e': 0.998001}",30,-29,-475.73738429864545,"{0: 33, 1: 4, 2: 12, 3: 1, 4: 9}",0
3,False,"{'a': 0.9, 'e': 0.997002999}",20,-8,-4.998549075079038,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.996005996001}",25,-83,-611.4276366097073,"{0: 47, 1: 26, 2: 27, 3: 2, 4: 6}",0
5,False,"{'a': 0.9, 'e': 0.995009990004999}",30,-59,-399.4731275780137,"{0: 54, 1: 5, 2: 24, 3: 2, 4: 4}",0
6,False,"{'a': 0.9, 'e': 0.994014980014994}",20,-3,-136.60245766121741,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.993020965034979}",20,-43,-349.2938165781383,"{0: 38, 1: 8, 2: 10, 3: 1, 4: 6}",0
8,False,"{'a': 0.9, 'e': 0.992027944069944}",30,-21,-221.02637564645445,"{0: 31, 1: 7, 2: 9, 3: 1, 4: 3}",0
9,False,"{'a': 0.9, 'e': 0.991035916125874}",20,-100,-547.9321173190368,"{0: 76, 1: 15, 2: 17, 3: 4, 4: 8}",0
10,False,"{'a': 0.9, 'e': 0.9900448802097482}",25,-89,-447.37423083698513,"{0: 67, 1: 16, 2: 24, 3: 3, 4: 4}",0
11,False,"{'a': 0.9, 'e': 0.9890548353295384}",20,-50,-430.0998125131354,"{0: 42, 1: 6, 2: 11, 3: 5, 4: 6}",0
12,False,"{'a': 0.9, 'e': 0.9880657804942089}",25,-89,-640.0499064835723,"{0: 71, 1: 12, 2: 18, 3: 1, 4: 12}",0
13,False,"{'a': 0.9, 'e': 0.9870777147137147}",20,-100,-459.6026147055498,"{0: 75, 1: 13, 2: 19, 3: 11, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.986090636999001}",20,3,-68.84020960800669,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.9, 'e': 0.985104546362002}",25,-2,-125.32176913944073,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.9841194418156399}",25,13,-116.58610771636509,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 2}",1
17,False,"{'a': 0.9, 'e': 0.9831353223738244}",20,-100,-430.07218809701055,"{0: 77, 1: 13, 2: 21, 3: 5, 4: 4}",0
18,False,"{'a': 0.9, 'e': 0.9821521870514505}",25,-100,-653.0571249834986,"{0: 71, 1: 22, 2: 18, 3: 5, 4: 9}",0
19,False,"{'a': 0.9, 'e': 0.981170034864399}",25,-31,-138.80237247814088,"{0: 40, 1: 6, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.9801888648295347}",25,-100,-537.2164646961855,"{0: 75, 1: 21, 2: 18, 3: 4, 4: 7}",0
21,False,"{'a': 0.9, 'e': 0.9792086759647052}",20,-100,-674.5890082741103,"{0: 68, 1: 12, 2: 27, 3: 4, 4: 9}",0
22,False,"{'a': 0.9, 'e': 0.9782294672887404}",25,-16,-248.6959875942059,"{0: 15, 1: 11, 2: 10, 3: 4, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.9772512378214517}",25,-62,-455.16928227174463,"{0: 47, 1: 11, 2: 20, 3: 5, 4: 4}",0
24,False,"{'a': 0.9, 'e': 0.9762739865836302}",25,-100,-554.0304418678314,"{0: 69, 1: 27, 2: 20, 3: 2, 4: 7}",0
25,False,"{'a': 0.9, 'e': 0.9752977125970466}",20,-100,-913.7650629981684,"{0: 60, 1: 13, 2: 27, 3: 7, 4: 13}",0
26,False,"{'a': 0.9, 'e': 0.9743224148844496}",20,-100,-479.46312878809044,"{0: 77, 1: 14, 2: 18, 3: 5, 4: 6}",0
27,False,"{'a': 0.9, 'e': 0.9733480924695651}",20,8,-6.856934085545915,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.9723747443770956}",20,-100,-619.5898400438385,"{0: 80, 1: 4, 2: 20, 3: 6, 4: 10}",0
29,False,"{'a': 0.9, 'e': 0.9714023696327184}",30,2,-129.56205962442246,"{0: 16, 1: 5, 2: 3, 3: 3, 4: 1}",1
30,False,"{'a': 0.9, 'e': 0.9704309672630858}",25,-100,-552.2673350077465,"{0: 77, 1: 17, 2: 18, 3: 6, 4: 7}",0
31,False,"{'a': 0.9, 'e': 0.9694605362958226}",30,7,-151.23248381448215,"{0: 8, 1: 6, 2: 7, 3: 1, 4: 1}",1
32,False,"{'a': 0.9, 'e': 0.9684910757595268}",20,-4,-164.43536023881367,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 2}",0
33,False,"{'a': 0.9, 'e': 0.9675225846837673}",20,-2,-46.12475149808911,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.9, 'e': 0.9665550620990835}",20,-68,-310.26288102278187,"{0: 61, 1: 12, 2: 6, 3: 4, 4: 5}",0
35,False,"{'a': 0.9, 'e': 0.9655885070369844}",30,-13,-123.73917641253622,"{0: 30, 1: 5, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.9, 'e': 0.9646229185299474}",20,-77,-516.3846632734303,"{0: 54, 1: 8, 2: 27, 3: 2, 4: 6}",0
37,False,"{'a': 0.9, 'e': 0.9636582956114175}",25,-11,-188.1776583475428,"{0: 17, 1: 8, 2: 9, 3: 0, 4: 2}",0
38,False,"{'a': 0.9, 'e': 0.9626946373158061}",25,-47,-335.1496963147605,"{0: 45, 1: 6, 2: 15, 3: 1, 4: 5}",0
39,False,"{'a': 0.9, 'e': 0.9617319426784903}",25,-2,-47.06252628533679,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 0}",0
40,False,"{'a': 0.9, 'e': 0.9607702107358118}",25,-50,-335.82632310986645,"{0: 49, 1: 5, 2: 14, 3: 2, 4: 5}",0
41,False,"{'a': 0.9, 'e': 0.959809440525076}",25,-100,-699.7765968517825,"{0: 77, 1: 12, 2: 19, 3: 6, 4: 11}",0
42,False,"{'a': 0.9, 'e': 0.9588496310845509}",25,7,-33.8595330729449,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.9578907814534663}",20,-100,-450.12387710871366,"{0: 72, 1: 17, 2: 24, 3: 3, 4: 4}",0
44,False,"{'a': 0.9, 'e': 0.9569328906720129}",20,-80,-439.5683829436691,"{0: 63, 1: 13, 2: 14, 3: 4, 4: 6}",0
45,False,"{'a': 0.9, 'e': 0.9559759577813408}",25,-100,-534.7775143395149,"{0: 84, 1: 14, 2: 16, 3: 1, 4: 10}",0
46,False,"{'a': 0.9, 'e': 0.9550199818235595}",20,-41,-147.75503354994132,"{0: 42, 1: 11, 2: 5, 3: 1, 4: 2}",0
47,False,"{'a': 0.9, 'e': 0.954064961841736}",20,16,4.983366348375621,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.9531108968798943}",20,-100,-386.49732930133746,"{0: 74, 1: 14, 2: 26, 3: 4, 4: 2}",0
49,False,"{'a': 0.9, 'e': 0.9521577859830144}",25,-41,-360.8170447874101,"{0: 39, 1: 8, 2: 12, 3: 1, 4: 6}",0
50,False,"{'a': 0.9, 'e': 0.9512056281970314}",25,-100,-616.838363644301,"{0: 70, 1: 17, 2: 24, 3: 8, 4: 6}",0
51,False,"{'a': 0.9, 'e': 0.9502544225688343}",20,-100,-462.0115233918063,"{0: 78, 1: 10, 2: 23, 3: 3, 4: 6}",0
52,False,"{'a': 0.9, 'e': 0.9493041681462654}",30,-39,-293.26636392804096,"{0: 45, 1: 9, 2: 7, 3: 4, 4: 4}",0
