trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.12722191319187,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,18,0.4870294922523657,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.1604424866659,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,2,-35.04548379065008,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.53434600726945,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.88507595027505,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.57838181890729,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.94635289702504,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.1511049315153,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.76392880197848,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.74119591245376,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.96656316759623,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.51984694886089,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.86114025176627,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.81819440633888,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.73423274969348,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.41557972152431,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,5,-80.31103381672565,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.15976036714565,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.715956412373956,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-244.00770214695532,"{0: 10, 1: 3, 2: 6, 3: 3, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,3,-92.81934410753102,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-135.11499292796736,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.64344459356458,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.42423843262615,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-183.50624029571463,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-215.3265385567285,"{0: 9, 1: 5, 2: 8, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.5262330268945,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.23393727487833,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.25887867718858,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
